                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1281,                 3.6106,                 2.2938,                0.00338,                0.96966,                0.36289,                0.16856,                 1.6421,                 3.3911,                 2.0345,             0.00041675,             0.00041675,             0.00041675
                      2,                 1.8239,                 2.8859,                 1.8897,                0.25814,                0.01386,                0.19207,                 0.0579,                  2.354,                  3.669,                 2.4721,             0.00084596,             0.00084596,             0.00084596
                      3,                 1.8869,                 2.6744,                 1.8245,                0.34675,                    0.4,                0.20843,                0.07465,                 2.6199,                 3.3348,                 2.8001,              0.0012709,              0.0012709,              0.0012709
                      4,                 1.9343,                 2.5665,                 1.8491,                0.57715,                0.23744,                0.07686,                0.02303,                 2.4613,                 4.4389,                 2.5576,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.8761,                 2.3909,                 1.7823,                0.12773,                0.44573,                 0.1113,                0.03386,                 2.6919,                 5.8053,                 2.6398,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.9307,                 2.3663,                 1.8435,                0.40375,                0.39317,                0.36591,                0.12825,                 2.1757,                  4.659,                 2.5745,               0.001634,               0.001634,               0.001634
                      7,                 1.9422,                 2.2865,                 1.8321,                0.53582,                0.43205,                0.46713,                0.18795,                 2.1303,                 2.7433,                 2.1944,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.8976,                 2.2149,                 1.8119,                0.38988,                0.35085,                0.35836,                0.10953,                 2.2928,                 3.1995,                  2.327,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.8873,                 2.0904,                 1.7825,                0.59631,                0.57179,                0.58095,                0.21005,                 2.1082,                 2.1301,                 2.1944,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.8869,                 2.0425,                 1.7992,                0.55158,                0.32799,                0.31794,                0.09633,                 2.1298,                 2.7251,                 2.2162,               0.001601,               0.001601,               0.001601
                     11,                 1.7983,                  1.941,                 1.7402,                0.53091,                0.41111,                0.50966,                0.19681,                 1.9884,                 2.9186,                 2.0748,              0.0015927,              0.0015927,              0.0015927
                     12,                  1.783,                 1.8495,                 1.7306,                0.43516,                 0.5285,                 0.4451,                0.14196,                 2.2234,                 2.2791,                 2.2375,              0.0015845,              0.0015845,              0.0015845
